participant_ID,text_file,error,rater_1,rater_2
CMJ1_S,./data/processed/exercises/CMJ1_S_E07.txt,no tenía muchos deberes ni (hice muchas) [viví grandes] cosas,"matching, prompted writing","matching, prompted writing"
CMJ1_S,./data/processed/exercises/CMJ1_S_E08.txt,no recuerdo nada ni a nadie [de] antes,metalinguistic reflection,metalinguistic reflection
CMJ1_S,./data/processed/exercises/CMJ1_S_E09.txt,participé en (alguna) [algunas] competiciones,text editing,text editing
CMJ1_S,./data/processed/exercises/CMJ1_S_E10.txt,me (encanta) [encantan] el clima y la comida,discrete choice,discrete choice
CMJ1_S,./data/processed/exercises/CMJ1_S_E11.txt,"[Finalmente, ] [Por último, ] en 2024 llegué",cloze,"cloze, metalinguistic reflection"
CMJ1_S,./data/processed/exercises/CMJ1_S_E12.txt,conduzco (el coche) [los coches] de mis amigos,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CMJ1_S,./data/processed/exercises/CMJ1_S_E13.txt,no recuerdo nada (y) [ni] a nadie,cloze,cloze
CMJ1_S,./data/processed/exercises/CMJ1_S_E14.txt,allí (comí) [probé] comida deliciosa,"text editing, metalinguistic reflection",text editing
CMJ1_S,./data/processed/exercises/CMJ1_S_E15.txt,[me] fui sola a Japón,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CPJ1_D,./data/processed/exercises/CPJ1_D_E01.txt,también quiero (cultivar mi poder) [mejorar mi capacidad] de comunicarme con los demás,"translation, prompted writing","translation, metalinguistic reflection"
CPJ1_D,./data/processed/exercises/CPJ1_D_E02.txt,explorar la existencia y la información relacionada (de) [con] cosas que,discrete choice,discrete choice
CPJ1_D,./data/processed/exercises/CPJ1_D_E03.txt,he obtenido el (DELE B2) certificado [DELE de nivel B2],"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CPJ1_D,./data/processed/exercises/CPJ1_D_E04.txt,debido a (un) [una] avería / me envió (una) [un] enlace / capacidades más (avanzados) [avanzadas],cloze,cloze
CPJ1_D,./data/processed/exercises/CPJ1_D_E05.txt,con (los) datos (muy) [tan] privados,discrete choice,discrete choice
CPJ1_D,./data/processed/exercises/CPJ1_D_E06.txt,a través de varios exámenes y (quiz) [pruebas],text editing,text editing
CPJ1_D,./data/processed/exercises/CPJ1_D_E07.txt,evaluar (la resulta) [los resultados] de la enseñanza,discrete choice,discrete choice
CPJ1_D,./data/processed/exercises/CPJ1_D_E08.txt,evaluar (significa) [es] una herramienta,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
CPJ1_D,./data/processed/exercises/CPJ1_D_E09.txt,(del) [desde el] número de vuelo (a) [hasta] mi número de DNI,cloze,cloze
CPJ1_D,./data/processed/exercises/CPJ1_D_E10.txt,creo que será más (esencial) [útil] que lo que aprendí en China,"paradigmatic systematization, text editing","paradigmatic systematization, text editing"
CPJ1_D,./data/processed/exercises/CPJ1_D_E11.txt,intentaré (a) absorber completamente el contenido enseñado,"syntagmatic systematization, prompted writing",syntagmatic systematization
CPJ1_D,./data/processed/exercises/CPJ1_D_E12.txt,el papel de (recopile y organice cantidades masivas de datos) [recopilador y organizador de cantidades masivas de datos],text editing,text editing
CPJ1_D,./data/processed/exercises/CPJ1_D_E13.txt,despegar (normalmente) [como estaba previsto],"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CPJ1_D,./data/processed/exercises/CPJ1_D_E14.txt,el avión estaba (estropeado) [averiado],discrete choice,discrete choice
CPJ1_D,./data/processed/exercises/CPJ1_D_E15.txt,(le) confié [en él] profundamente,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
CPS1_J,./data/processed/exercises/CPS1_J_E01.txt,todas las familias (hacen reuniones) [se reúnen],"translation, prompted writing","translation, prompted writing"
CPS1_J,./data/processed/exercises/CPS1_J_E02.txt,que (era) [estaba] muy lejos de casa,"discrete choice, metalinguistic reflection","discrete choice, metalinguistic reflection"
CPS1_J,./data/processed/exercises/CPS1_J_E03.txt,que [se] hizo famoso por la canción de Rosé y Bruno Mars,"metalinguistic reflection, prompted writing","metalinguistic reflection, prompted writing"
CPS1_J,./data/processed/exercises/CPS1_J_E04.txt,(pagina) [página] / podía sentir (como) [cómo],"matching, prompted writing","matching, prompted writing"
CPS1_J,./data/processed/exercises/CPS1_J_E05.txt,la página web de un mercado coreano (en) [de] Barcelona,discrete choice,discrete choice
CPS1_J,./data/processed/exercises/CPS1_J_E06.txt,para (realizar) [darme cuenta de que] estaba en España,discrete choice,discrete choice
CPS1_J,./data/processed/exercises/CPS1_J_E07.txt,después [de] que llegaran los ingredientes,discrete choice,discrete choice
CPS1_J,./data/processed/exercises/CPS1_J_E08.txt,empezamos a comer (fuertemente) [vorazmente],discrete choice,discrete choice
CPS1_J,./data/processed/exercises/CPS1_J_E09.txt,(en) el (Septiembre) [septiembre] pasado,"text editing, prompted writing","text editing, prompted writing"
CPS1_J,./data/processed/exercises/CPS1_J_E10.txt,(tambien) [también],accent marking and read-aloud,accent marking and read-aloud
CPS1_J,./data/processed/exercises/CPS1_J_E11.txt,las comidas (riquísimos) [riquísimas] / experiencia (exótico) [exótica],cloze,cloze
CPS1_J,./data/processed/exercises/CPS1_J_E12.txt,en (cualiquiera) [cualquier] situación,"text editing, prompted writing","text editing, prompted writing"
CPS1_J,./data/processed/exercises/CPS1_J_E13.txt,(con) [de] tan buena calidad,discrete choice,discrete choice
CPS1_J,./data/processed/exercises/CPS1_J_E14.txt,para vivir con (feliz) [felicidad],paradigmatic systematization,paradigmatic systematization
CPS1_J,./data/processed/exercises/CPS1_J_E15.txt,(las comidas coreanas) [los platos coreanos],"vocabulary extraction and list creation, translation","vocabulary extraction and list creation, translation"
