Lexical item;Level
alcurnia;C2
aldea;C1
aleccionar;C1
alegato;B2
alegría;B1
alegría desbordante;C2
alegría infinita;C2
alegrarse;B1
alegre;A1
alemán;A1
alergia;A2
alféizar;C2
alfalfa;C2
alfiler;B2
alfombra;A2
alfombrilla;A2
alga;B2
algodón;B1
aliñado;B1
aliñar;B1
aliñar una ensalada;B1
aliado;B2
alianza;C2
alianza de oro;B2
alianza de plata;B2
alias;C2
alicatar;C2
alijo;C2
alimaña;C2
alimentación;B1
alimentación equilibrada;B1
alimentación sana;B1
alimentar;B1
alimentarse;B1
alimento;B1
alimento básico;B2
alimento bajo en azúcar;B2
alimento bajo en calorías;B2
alimento bajo en sal;B2
alimento caduco;C2
alimento congelado;B2
alimento de primera necesidad;C1
alimento dietético;B2
alimento fresco;B2
alimento ligero;B1
alimento nutritivo;B2
alimento orgánico;B2
alimento perecedero;C2
alimento pesado;B1
alimento rico en calcio;B2
alimento rico en calorías;B2
alimento rico en fibra;B2
alimento rico en hierro;B2
alimento rico en proteínas;B2
alimento rico en vitaminas;B2
alimentos transgénicos;B2
alisar;B1
alisar la piel;C2
alisarse el pelo;C2
alisio;C2
alistarse en el ejército;C1
aliviado;B2
aliviar;C1
alivio;B2
allegado;C2
alma;B2
almacén;B2
almacenar;B2
almeja;B2
almendra;B2
almohada;A2
almohadilla;C1
alojamiento;A2
alojarse;B1
alojarse en un apartamento;B2
alojarse en un bungaló;B2
alojarse en un hotel;B2
alojarse en una cabaña;B2
alpinismo;B2
alquilar;B1
alquilar un apartamento;B2
alquilar un bungaló;B2
alquilar un piso;A1
alquilar una cabaña;B2
alquilar una película;B1
alquiler;B1
alrededores;B2
alta tecnología;C1
altar;C1
altas presiones;C1
altavoz;B2
alternador;C2
alternar;B2
alternar con alguien;C2
alternativo;B2
altitud;B2
alto;B1
alto el fuego;C1
altruismo;C1
altruista;C1
altura;B1
alubia;B1
alucinante;C1
alucinar;C1
alud;C2
alumbrado;C2
alumbrado público;C1
alumbrado urbano;C1
aluminio;B2
alumnado;B2
alumno;A1
alumno aplicado;C2
alumno aventajado;C2
alumno brillante;B2
alumno conflictivo;B2
alumno de la escuela;A2
alumno del instituto;A2
alumno disciplinado;C2
alumno ejemplar;C2
alumno estudioso;B2
alumno indisciplinado;C2
alunizar;C2
alzar;B1
alzar la mirada;C1
alzarse;C2
américa;A1
ama de casa;A1
amabilidad;B1
amable;A2
amainar;C2
amainar el temporal;C2
amar;B2
amargo;B1
amargor;C1
amarillo;A1
ambición;B2
ambicioso;B2
ambiente;B1
ambiente íntimo;B2
ambiente acogedor;B2
ambiente cálido;B2
ambiente clásico;B1
ambiente fresco;B2
ambiente moderno;B1
ambulancia;A2
ambulatorio;B2
ameba;C2
amenizar;C2
amigo;A1
amigo íntimo;B2
amigo de la infancia;B1
amigo de la universidad;B1
amigo de toda la vida;B2
amigo entrañable;C1
amigo inseparable;C1
amigote;C2
amiguismo;C2
amistad;B1
amnesia;C2
amnistía;C2
amoldarse;B2
amoldarse a un estilo;C1
amonestar;C2
amoniaco;C2
amor;B1
amor espiritual;C1
amor imposible;C1
amor platónico;C1
amor prohibido;C1
amor propio;B2
amortización;C2
amortización de un préstamo;C2
amortizar;C1
amortizar el ahorro;C2
amortizar un préstamo;C2
amparar;C2
ampliación;B2
ampliar;B1
ampliar el programa;C2
ampliar el sílabo;C2
ampliar estudios;C1
ampliar un contrato;B2
ampliar una hipoteca;C2
ampolla;C2
ampolla bebible;C2
ampolla inyectable;C2
amueblado;A2
amueblar;B1
amueblar una habitación;B2
amuermar;C2
análisis;B1
análisis clínico;C1
análisis de orina;B1
análisis de sangre;B1
análisis de texto;C1
análisis exhaustivo;C2
análisis fallido;C2
análisis pormenorizado;C2
análisis profundo;C2
anécdota;B2
anacardo;C2
anagrama;C1
analgésico;B2
analizar;B2
analizar un tema;B2
analizar un texto;B2
anarquía;B2
ancho;B2
anchura;B1
anciano;B1
andén;B1
andamiaje;C1
andamio;C1
andar;A2
andar agotado;C2
andar bien de dinero;C2
andar cansado;C2
andar con alguien;C1
andar dejado;C2
andar desaliñado;C2
andar desaseado;C2
andar encorvado;C2
andar hecho polvo;C2
andar hecho un asco;C2
andar ladeado;C2
andar mal de dinero;C2
andar sobrado de dinero;C2
andar tieso;C2
andar zarrapastroso;C2
anecdótico;C2
anegar;C2
anemia;C1
anestesia;B2
anestesiar;B2
anestesista;B2
anfibio;C2
anfitrión;C1
angustia;B2
angustiarse;B2
angustioso;C2
anhídrido carbónico;C2
anillo;A1
anillo de oro;B1
anillo de plata;B1
animal;A1
animal acuático;B1
animal carnívoro;C1
animal de carga;C1
animal de compañía;B1
animal doméstico;B1
animal herbívoro;C1
animal invertebrado;C1
animal marino;B2
animal omnívoro;C1
animal salvaje;B1
animal terrestre;B2
animal vertebrado;C1
animal volador;B2
animar;B2
animarse;C2
aniversario;B1
aniversario de boda;B1
anorak;B2
anorexia;C1
ansiedad;B2
antecedente;B2
antecedentes penales;C1
antecedentes policiales;C1
antefirma;C1
antena;C1
antena parabólica;C1
antepasados;C1
anteproyecto de ley;C2
antibiótico;B1
anticiclón;B2
anticipar;B2
anticipar una jugada;C1
anticipo;B2
anticuado;B1
antiguo amigo;B2
antiguo testamento;B2
antiinflamatorio;B2
antipático;A1
antipirético;C2
antivirus;B1
anual;B2
anular;B1
anular un billete;B1
anular un matrimonio;C2
anular una reserva;B1
anunciante;C1
anunciar;B2
anunciar el programa oficial de las fiestas;C1
anunciar un vuelo;B2
anuncio;A2
anuncio de trabajo;B1
apagar;A2
apagar la luz;A2
apagar la sed;B2
apagar un electrodoméstico;B1
apagarse;B2
apagarse el indicador del nivel de aceite;C2
apagarse una estrella;B2
apaisado;C2
aparato;B1
aparato digestivo;B2
aparcamiento;A1
aparcar;B1
aparcar en doble fila;C1
aparcar en un vado permanente;C1
aparcar en zona azul;B2
aparcar en zona de carga y descarga;C1
aparcar en zona prohibida;B2
aparcar en zona verde;B2
aparearse;C1
aparejador;B2
apartado de correos;B1
apartamento;A1
apartotel;C1
apasionado;B2
apasionamiento;C1
apego;C2
apelación;C2
apelar;C2
apelar a la justicia;C2
apellidarse;A2
apellido;A1
apellido compuesto;C1
apellido de soltera;C1
apenado;B2
aperitivo;A2
apetecible;B2
apetito;B2
apetitoso;C1
aplacar;C2
aplacarse;C2
aplaudir;B2
aplazar;B1
aplazar un pago;C1
aplicación;C1
aplicado;C2
aplicar;A2
aplicar un principio;C2
aplicar una crema;B2
aplicar una fórmula;B2
aplicarse;C2
apodo;C2
aportar;B2
aposento;C2
apostar;B2
apoyar;B2
apoyo y orientación;C1
apreciación;C1
apreciar;B2
apreciar un plato;C1
apreciar una comida;C1
aprecio;B2
aprecio absoluto;C2
aprecio desmedido;C2
aprecio incondicional;C2
aprecio infinito;C2
aprecio profundo;C2
aprender;A1
aprender de memoria;B1
aprender una fórmula;A2
aprender una regla;A2
aprendiz;C1
aprendizaje;B2
aprendizaje académico;C1
aprendizaje autónomo;C1
aprendizaje formal;C1
apretado;B2
apretar;A2
apretar el botón;B2
apretar el calor;C2
apretar el frío;C2
apretar el zapato;B2
apretar en los estudios;C2
apretar la cintura;B2
apretarse el cinturón;C2
aprobar;A2
aprobar el curso;B1
aprobar el programa oficial de las fiestas;C1
aprobar por los pelos;C1
aprobar un control;B1
aprobar un examen;A2
aprobar un examen oral;B1
aprobar un proyecto;C1
aprobar un test escrito;B1
aprobar una ley;B2
aprovechar;B1
aprovechar la luz;C1
aprovechar los espacios;C1
aprovechar los huecos;C1
aprovechar los recursos naturales;B2
aprovechar los rincones;C1
aproximarse;B1
aptitud;C1
apto;A2
apto para todos los públicos;B2
apuesta;B2
apuntar;B2
apuntarse;B2
apuntarse a una lista de distribución;B2
apuntarse en una lista de distribución;B2
apuntes;B1
araña;A2
arañar;B2
arañazo;C2
arado;C2
arancel;C2
arancel aduanero;C2
arancelario;C2
arar;B1
arbusto;B2
arcén;C1
archivador;C1
archivar;B1
archivar documentos;B1
archivar un expediente disciplinario;C2
archivo;B1
arco de herradura;C2
arco de medio punto;C2
arco ojival;C2
arcoíris;A2
ardor de estómago;C1
arena;B1
argentino;A1
argumento;B2
aristócrata;C1
aristocracia;C1
arma;A2
arma atómica;C1
arma automática;C1
arma biológica;C1
arma blanca;C1
arma de fuego;C1
arma nuclear;C1
arma química;C1
arma semiautomática;C1
armada;C2
armador;C2
armario;A1
armario de baño;A1
armario de obra;C2
